Slavebarrierwait
Slavebarrierwait
type;exec;direction;nb_clusters;size;time
Hello1
Masterbarrierwait
Masterbarrierend
Masterbarrierend
Slavebarrierwait
Slavebarrierend
Slavebarrierend
Slavebarrierend
AllSlavesArrived:0
AllSlavesArrived:2
AllSlavesArrived:1
Hello2
UsandoChannel!
Slavebarrierwait
Slavebarrierend
AllSlavesArrived:3
channel;6;slave-master;4;1024;198
channel;6;slave-master;4;2048;203
channel;6;slave-master;4;4096;271
channel;6;slave-master;4;8192;297
channel;6;slave-master;4;16384;377
channel;6;slave-master;4;32768;608
channel;6;slave-master;4;65536;1008
channel;6;slave-master;4;131072;1806
channel;6;slave-master;4;262144;3403
channel;6;slave-master;4;524288;6601
channel;6;slave-master;4;1048576;13014
UsandoChannel!
channel;7;master-slave;4;1;83
channel;7;master-slave;4;2;76
channel;7;master-slave;4;4;76
channel;7;master-slave;4;8;73
channel;7;master-slave;4;16;73
channel;7;master-slave;4;32;81
channel;7;master-slave;4;64;74
channel;7;master-slave;4;128;76
channel;7;master-slave;4;256;81
channel;7;master-slave;4;512;90
channel;7;master-slave;4;1024;109
channel;7;master-slave;4;2048;146
channel;7;master-slave;4;4096;225
channel;7;master-slave;4;8192;368
channel;7;master-slave;4;16384;669
channel;7;master-slave;4;32768;1266
channel;7;master-slave;4;65536;2454
channel;7;master-slave;4;131072;4833
channel;7;master-slave;4;262144;9592
channel;7;master-slave;4;524288;19104
channel;7;master-slave;4;1048576;38116
channel;7;slave-master;4;1;202
channel;7;slave-master;4;2;165
channel;7;slave-master;4;4;169
channel;7;slave-master;4;8;175
channel;7;slave-master;4;16;164
channel;7;slave-master;4;32;177
channel;7;slave-master;4;64;187
channel;7;slave-master;4;128;198
channel;7;slave-master;4;256;197
channel;7;slave-master;4;512;197
channel;7;slave-master;4;1024;198
channel;7;slave-master;4;2048;198
channel;7;slave-master;4;4096;275
channel;7;slave-master;4;8192;299
channel;7;slave-master;4;16384;376
channel;7;slave-master;4;32768;609
channel;7;slave-master;4;65536;1008
channel;7;slave-master;4;131072;1808
channel;7;slave-master;4;262144;3403
channel;7;slave-master;4;524288;6606
channel;7;slave-master;4;1048576;13009
UsandoChannel!
channel;8;master-slave;4;1;78
channel;8;master-slave;4;2;77
channel;8;master-slave;4;4;76
channel;8;master-slave;4;8;82
channel;8;master-slave;4;16;78
channel;8;master-slave;4;32;76
channel;8;master-slave;4;64;75
channel;8;master-slave;4;128;77
channel;8;master-slave;4;256;80
channel;8;master-slave;4;512;95
channel;8;master-slave;4;1024;109
channel;8;master-slave;4;2048;151
channel;8;master-slave;4;4096;220
channel;8;master-slave;4;8192;367
channel;8;master-slave;4;16384;668
channel;8;master-slave;4;32768;1265
channel;8;master-slave;4;65536;2457
channel;8;master-slave;4;131072;4830
channel;8;master-slave;4;262144;9591
channel;8;master-slave;4;524288;19104
channel;8;master-slave;4;1048576;38121
channel;8;slave-master;4;1;205
channel;8;slave-master;4;2;165
channel;8;slave-master;4;4;176
channel;8;slave-master;4;8;175
channel;8;slave-master;4;16;175
channel;8;slave-master;4;32;174
channel;8;slave-master;4;64;182
channel;8;slave-master;4;128;200
channel;8;slave-master;4;256;198
channel;8;slave-master;4;512;198
channel;8;slave-master;4;1024;198
channel;8;slave-master;4;2048;198
channel;8;slave-master;4;4096;276
channel;8;slave-master;4;8192;296
channel;8;slave-master;4;16384;377
channel;8;slave-master;4;32768;608
channel;8;slave-master;4;65536;1012
channel;8;slave-master;4;131072;1811
channel;8;slave-master;4;262144;3404
channel;8;slave-master;4;524288;6598
channel;8;slave-master;4;1048576;13010
UsandoChannel!
channel;9;master-slave;4;1;78
channel;9;master-slave;4;2;76
channel;9;master-slave;4;4;76
channel;9;master-slave;4;8;74
channel;9;master-slave;4;16;75
channel;9;master-slave;4;32;77
channel;9;master-slave;4;64;78
channel;9;master-slave;4;128;77
channel;9;master-slave;4;256;82
channel;9;master-slave;4;512;91
channel;9;master-slave;4;1024;109
channel;9;master-slave;4;2048;146
channel;9;master-slave;4;4096;220
channel;9;master-slave;4;8192;373
channel;9;master-slave;4;16384;663
channel;9;master-slave;4;32768;1260
channel;9;master-slave;4;65536;2454
channel;9;master-slave;4;131072;4834
channel;9;master-slave;4;262144;9592
channel;9;master-slave;4;524288;19105
channel;9;master-slave;4;1048576;38117
